playerID,yearID,stint,teamID,lgID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,nameGiven,masterID
kempma01,2015,1,SDN,NL,154,596,80,158,31,3,23,100,12,2,39,147,0,5,0,8,17,Matthew Ryan,kempma01-2015-SDN
kendrho01,2015,1,LAN,NL,117,464,64,137,22,2,9,54,6,2,27,82,1,2,1,1,17,Howard Joseph,kendrho01-2015-LAN
kershcl01,2015,1,LAN,NL,34,71,2,9,2,0,0,2,0,0,2,23,0,1,5,0,2,Clayton Edward,kershcl01-2015-LAN
kiermke01,2015,1,TBA,AL,151,505,62,133,25,12,10,40,18,5,24,95,0,2,2,2,7,Kevin James,kiermke01-2015-TBA
kinslia01,2015,1,DET,AL,154,624,94,185,35,7,11,73,10,6,43,80,0,3,0,5,13,Ian Michael,kinslia01-2015-DET
kipnija01,2015,1,CLE,AL,141,565,86,171,43,7,9,52,12,8,57,107,6,9,4,6,5,Jason Michael,kipnija01-2015-CLE
koehlto01,2015,1,MIA,NL,32,50,2,6,1,0,0,1,0,0,2,28,0,0,12,0,1,Thomas R.,koehlto01-2015-MIA
kozmape01,2015,1,SLN,NL,76,99,15,15,0,0,0,2,3,1,10,21,2,1,1,0,0,Peter Michael,kozmape01-2015-SLN
lackejo01,2015,1,SLN,NL,33,62,0,7,2,0,0,3,0,0,4,24,0,0,4,0,2,John Derran,lackejo01-2015-SLN
lagarju01,2015,1,NYN,NL,143,441,47,114,16,5,6,41,7,3,16,87,2,4,1,3,6,Juan Osvaldo,lagarju01-2015-NYN
lakeju01,2015,1,CHN,NL,21,58,2,13,4,0,1,5,4,0,4,20,0,0,0,0,1,Junior Osvaldo,lakeju01-2015-CHN
lambja01,2015,1,ARI,NL,107,350,38,92,15,5,6,34,3,2,36,97,3,1,0,3,5,Jacob Ryan,lambja01-2015-ARI
larocad01,2015,1,CHA,AL,127,429,41,89,21,0,12,44,0,0,49,133,0,4,0,2,10,David Adam,larocad01-2015-CHA
lasteto01,2015,1,CHN,NL,33,67,4,18,6,0,1,11,2,0,5,7,0,1,0,1,1,Thomas F.,lasteto01-2015-CHN
lavarry01,2015,2,ATL,NL,27,66,5,15,5,0,2,6,0,0,8,21,1,0,0,0,4,Ryan Cole,lavarry01-2015-ATL
lawribr01,2015,1,OAK,AL,149,562,64,146,29,3,16,60,5,2,28,144,1,5,3,4,8,Brett Russell,lawribr01-2015-OAK
leakemi01,2015,1,CIN,NL,25,52,3,7,3,0,1,5,0,0,0,25,0,0,4,0,0,Michael Raymond,leakemi01-2015-CIN
lemahdj01,2015,1,COL,NL,150,564,85,170,21,5,6,61,23,3,50,107,4,1,3,2,20,David John,lemahdj01-2015-COL
leonsa01,2015,1,BOS,AL,41,114,8,21,2,0,0,3,0,1,7,28,1,1,6,0,4,Sandy David,leonsa01-2015-BOS
lestejo01,2015,1,CHN,NL,32,62,6,4,0,0,0,0,0,0,3,30,0,0,6,0,1,Jonathan Tyler,lestejo01-2015-CHN
lindad01,2015,1,MIL,NL,149,502,72,139,32,0,20,87,0,0,66,100,11,1,0,3,7,Adam Alan,lindad01-2015-MIL
